,Team,Result,SRS,DRtg,MOV,ORtg,Age,DeFG%,SOS,OFT/FGA,ORB%,TOV,OeFG%
606,Memphis Grizzlies,FR,3.74,101.6,3.7,105.9,28.1,0.469,0.05,0.24100000000000002,25.8,13.8,0.496
709,San Antonio Spurs,FR,3.36,104.3,3.76,108.5,30.4,0.48700000000000004,-0.4,0.191,22.1,11.7,0.513
688,Dallas Mavericks,SF,1.68,108.4,1.98,110.5,29.0,0.493,-0.3,0.22399999999999998,26.6,12.7,0.504
738,Sacramento Kings,NP,-4.06,109.9,-4.37,105.3,24.1,0.505,0.3,0.207,27.8,15.0,0.491
831,Utah Jazz,NP,0.3,106.8,-0.09,106.7,26.3,0.501,0.38,0.214,28.8,14.8,0.49200000000000005
510,Denver Nuggets,NP,-7.41,101.3,-8.28,92.2,24.1,0.47700000000000004,0.87,0.198,31.3,18.5,0.428
499,Sacramento Kings,CF,7.61,101.1,7.61,109.0,27.0,0.467,0.0,0.231,27.9,13.8,0.49700000000000005
717,Cleveland Cavaliers,SF,6.17,104.1,6.52,111.2,28.0,0.48200000000000004,-0.36,0.24600000000000002,25.1,13.9,0.532
139,Washington Bullets,NP,-1.77,108.5,-2.16,106.4,26.2,0.493,0.39,0.23600000000000002,33.1,15.7,0.467
358,Vancouver Grizzlies,NP,-10.17,111.8,-10.23,100.3,25.0,0.51,0.06,0.191,29.7,15.9,0.47100000000000003
564,Boston Celtics,FR,0.35,106.6,0.87,107.5,27.1,0.48100000000000004,-0.52,0.273,27.2,15.8,0.501
104,Milwaukee Bucks,FR,1.21,107.6,0.54,108.2,28.6,0.483,0.68,0.259,31.8,15.5,0.485
182,Minnesota Timberwolves,NP,-3.75,110.9,-3.93,106.7,26.2,0.502,0.18,0.21,34.9,13.0,0.456
968,Miami Heat,FR,0.15,106.3,0.48,106.8,26.5,0.507,-0.33,0.17300000000000001,21.5,14.4,0.52
581,New Orleans Hornets,NP,-6.3,107.7,-7.07,99.7,27.5,0.491,0.78,0.214,29.1,14.8,0.446
812,Golden State Warriors,SF,1.32,105.5,0.89,106.4,25.3,0.486,0.42,0.201,25.4,15.1,0.506
132,Philadelphia 76ers,FR,1.68,111.5,1.5,113.0,27.0,0.513,0.18,0.27399999999999997,32.2,14.8,0.5
111,San Antonio Spurs,FR,-5.02,112.8,-4.88,108.2,26.2,0.512,-0.14,0.23399999999999999,32.0,17.3,0.499
917,Portland Trail Blazers,SF,0.98,108.0,0.83,108.8,24.3,0.503,0.15,0.20199999999999999,25.9,14.6,0.511
224,Chicago Bulls,WF,6.19,106.1,6.29,112.9,28.1,0.493,-0.1,0.19899999999999998,36.3,13.5,0.499
