,MP,FGA,FG%,3P%,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Age,MOV,SOS,ORtg,DRtg,Pace,FTr,3PAr,TS%,OeFG%,OTOV%,ORB%,OFT/FGA,DeFG%,DTOV%,DRB%,DFT/FGA,Team,Result,G,WIN_PCT
247,-0.22734618689236286,0.09446643526732323,-0.4198989731441709,-1.107893466027467,-0.4621679586118727,-0.9385145365081896,-0.9015973824662592,-0.26627093888669506,-0.8360976963866055,-0.6570029207719208,-1.1466642473336655,0.5299416892398457,-0.29892621010935794,-0.8020194743312814,-0.6333853236056405,-0.9648477188956762,-0.7263590039349704,-1.3887602855214414,1.6721364267427095,-1.378111064602186,0.9718153301162706,0.39493944260496305,-0.8752144768971732,-0.7399670754405281,-0.8359165509625763,-0.6839039133361517,0.2663046166036525,-1.288713384551657,-0.8660838766371947,1.234409350185608,-0.32591996545748547,-0.4753440366932441,-0.6790539784401677,Washington Bullets,NP,82,0.2682926829268293
22,0.677169186570897,-1.0679848703875099,-0.5363755872988997,0.2475323169541566,-0.30436855682401237,-1.1172512293416705,-1.294925764826182,-0.13452796189111352,-1.3045382817225626,0.20534754872070896,-0.7991141230313227,0.25015024579537143,-1.6488596841271925,-1.3039042812461963,-0.9790818384068652,-1.3078885987596767,-0.16034622715390867,-0.8814726724698881,1.7316548341336941,-1.1545760008181027,-0.1708054039639595,-1.1608154496069742,-0.6511623497911996,1.6702463933712248,-0.5477340840171069,-0.4205874133388972,0.43265820042341696,-1.2085092899179286,-0.6437648446442548,-0.2248754774737389,-0.952043658783635,1.5434730533272643,-0.7944402116391546,Washington Bullets,FR,82,0.4268292682926829
116,-0.5733705602767921,-0.4292250673743204,1.0824244321414929,-1.355583912090838,0.8591065444740483,0.13898940527682785,-0.09756624176255072,0.5109221198959953,-0.07121693075173449,0.23908365885803035,0.18191553392994486,0.6742031614111045,-0.9994210412811615,-0.23005425819828004,-0.43064981754147447,0.006158429481910584,1.1184403703702057,0.20836848075343223,0.17110666222463522,0.709813116179874,0.7265437852462638,-0.77058198432725,0.1352047415387042,-1.1219761063188234,0.6025032006139103,0.543740461300259,-0.34046603695645655,0.6957586657476483,0.30125698830989384,0.2377525649065189,-1.3086091044133614,1.5141062726162462,-0.040356986100028684,Boston Celtics,FR,82,0.5121951219512195
577,1.8331678827109075,-1.013096203550109,2.6056083848000355,1.3360603362692838,2.5778709687903554,0.31780979361969336,2.0139238926989003,-2.8491922885354537,-1.2460329414579299,1.803190868964733,0.852078815840245,0.3252112151494508,-1.2605387993471593,0.9944469878950951,-0.34575163604484194,0.9831179897078065,0.9443502089529732,1.5757434577683032,-1.9026692944262507,1.2098062290347862,-0.9317451678523814,-0.05157252971658232,2.1964863006967392,0.04317280070492316,1.764251484530018,2.3498962194594317,-0.5593325743974977,-0.8048130801619073,0.6526775114229812,-1.4374799929298387,-1.0899888910465942,1.7533007708277872,-0.13902105136597792,Miami Heat,CF,82,0.7195121951219512
76,1.6526626061761072,0.5890295282056874,-0.08983005796974058,0.6090966013922254,-0.20719796781977906,0.4198643508251383,0.1549097382402683,0.6914415361562607,-0.17219057955454856,-0.4481186207792273,-0.47718988208258867,-0.2642611710480391,0.07414012255036395,-1.3747100036468611,0.8031134425368558,0.46477075911613,0.30276503540974997,-0.47961349600239694,-0.4121512744652086,0.1498065400870362,1.159414389694874,0.37117437748101784,-0.08805256023711633,-0.25679386846513397,0.0507183619443585,-0.07874580065639965,-0.4672822947883976,-0.43040135820262,0.1956350497528692,0.9251104587977612,-0.03609243667108826,-0.6726478237877511,0.32852908712785495,Golden State Warriors,SF,82,0.5121951219512195
598,0.4600185280159203,-0.4514691960622005,0.6645221357746581,0.8672171957799031,0.2033726184394283,1.3228925258261248,0.76746017414049,1.2674725147639563,1.3899381672915816,-0.11344524002886841,0.9061175038602957,-1.3321074380956128,0.0351210031258849,1.4387831002476772,-0.2199446228741135,0.5144902003070687,0.6056438534119707,1.5748304893998786,-0.5340060141779551,1.9085046502104186,-0.3500502981967108,-1.1781840954042517,0.7966147412159955,-0.6038020799626851,1.0635642313464786,0.3305498167631713,-0.6097193095635733,1.86454060854395,1.316197939601079,-0.8032266652786203,-0.019594209942133466,-0.2405456561657653,0.31858911562139586,Dallas Mavericks,LF,82,0.7317073170731707
590,-0.3468155453777347,0.33172176576420037,-0.23195995128297728,1.7845281414505816,-0.42430795449033754,0.06356195872394138,-0.22745884031306837,0.5900694088682877,-1.76092258668848,-0.03836576316946014,-1.3091706587399718,-0.5617284625308673,0.10220584859571659,-1.0372189013529491,0.176137625909637,0.5725350705722979,0.10864205943706436,-0.3914185093449305,-0.4818987732607971,0.2439125461763739,0.8231112020938128,0.7220154160320773,-0.313447079391276,1.1390977416760297,0.5721896706583837,0.5494968813261076,-1.1885817205946823,-2.3732480198475128,-0.06917780074990243,1.0690052406438006,-0.21332222264450823,-0.14329862069265076,-0.20368200548968823,Toronto Raptors,NP,82,0.4024390243902439
659,0.9152385246252236,1.4966641044393636,0.7951429130994275,-0.2688627198489581,0.9480037917755686,2.1999057165970086,2.3297075661427886,-0.16065518299328024,0.0,1.5385628409383585,1.3591685804776787,1.4885882549989375,2.036063867512978,2.5123945668421497,0.054978186953555545,2.0878912632514286,1.029877089897011,0.6729176330391212,0.08157323754444472,0.6661488852094487,-0.36547876360538,2.31062961922642,1.5735077024025765,0.13711014705825497,0.8112528449563317,0.6023074013731403,-0.3572163661952114,-0.4468619679792415,1.4678449103396358,0.1100176351467478,0.8828482993090487,-0.7846860851941221,-1.0359445802994964,Denver Nuggets,FR,82,0.6097560975609756
277,-0.4796485852117105,-0.8681808581051031,0.40773137101576984,1.7232996038903416,0.16359995169967656,-0.3016581425779699,-0.9909498025643803,1.5682057246624692,-1.6910738411325363,0.41700165554029095,-0.8403798909083086,0.8896622039199695,-0.7124900865662752,-0.274708668606781,-1.7393207008432718,-0.15990531084095688,0.4798763549345996,0.6512522292754077,-1.1917878104255615,0.377244585637608,-0.7743010682353301,-0.680836838481784,-0.5121243913772532,0.9335957239501478,0.9173812201233531,0.8064641351064644,-0.3223168014324283,-1.878715249593607,0.06260656701045957,-0.9733145132489236,-0.7303097429173439,-0.04701571149342321,-1.39473271411617,Charlotte Hornets,FR,82,0.6097560975609756
223,-0.9356169999032423,0.741632014188244,0.8983885006805321,-0.19255920706964644,0.6665437393045677,0.7617812796332706,0.5723902648317902,0.7121565939454877,-0.27523712986639864,0.7898013834811445,0.3767611098382035,0.9009008717077386,-0.6423733451286198,0.569760441040775,-0.6838319422998941,1.3851774182165564,-1.0169026055089603,-0.04727352579220145,0.6695297267240323,0.4589859445285968,0.5910380833556743,1.457027585068492,0.21652101812955082,-1.0059119810897021,0.6521986276741053,0.501375504033594,-0.16946657420232117,-0.2604846202817166,0.43071792076053733,-0.24260068153936779,-1.2620730577289816,-1.562118507681417,-1.165809485109667,Charlotte Hornets,SF,82,0.5365853658536586
