,NRtg,SRS,DRtg,MOV,ORtg,Age,DeFG%,SOS,OFT/FGA,ORB%,TOV,OeFG%,Team,Result
20,-0.059015037136795616,-0.10991722197967876,0.19749374833333305,-0.051851333674699296,0.09866912251889827,0.6299316066760551,-0.2248754774737389,-0.5573141994913038,0.6821985667125715,-0.9573432025554683,-1.0482583277715978,-0.35522585586055466,Seattle SuperSonics,FR
5,-0.3058051924361226,-0.41095811546819716,1.9162231257207156,-0.33550862965981904,1.2502997763961388,0.5421229584727247,1.7644075924862908,-0.5573141994913038,0.9031924686053762,-1.5433974064012104,-1.2100700159511084,0.1676666039661853,Denver Nuggets,FR
109,0.9050985219562874,0.7693480144048261,-0.24997588447563632,0.930420294599195,0.9743598428037189,0.18101099978284904,-0.31534550860267757,-1.4952271955277523,1.1203577406855065,0.6690749008525454,-0.20229982508291006,0.5436261456419273,Portland Trail Blazers,FR
892,0.1389527814950446,0.03579407681222017,-0.9726761090083873,0.14822314769211903,-0.5120743188411959,0.9953930741868693,-1.0393927592959296,-1.2217980391170866,-0.5984989574883884,-0.12505231156929045,0.49599752231805116,0.1485554621014943,Washington Wizards,SF
54,0.6012364219024509,0.5208999083573259,0.14148960608713954,0.6063024796657218,0.8599372130478172,-0.7521805525805848,0.3104299075399241,-1.0656330227777204,-1.1372176048068605,1.4648618438358176,-0.7668364958363989,0.21971070247162738,Houston Rockets,LF
656,-0.5563746438728057,-0.5986915529404073,-0.08353800310980394,-0.5602408033602745,-0.946354368670558,-0.6466670099353271,-0.07334509009783526,-0.26449504294713894,-0.33111243981018124,0.8517112723023165,0.4087711164415397,-1.3097795871130211,Chicago Bulls,NP
348,0.5564824006027839,0.6259038846941513,-1.5423221882625135,0.5713480828625791,-0.6843183576884678,1.1777207928806688,-1.713698583642529,0.4014056449912567,0.8068320767211601,-0.12065159376351065,1.9269166404161109,0.43902298481461494,New York Knicks,SF
434,-0.23476513865936643,-0.2560626515926713,0.692563692787304,-0.2179087149429272,0.3264991467944902,-0.27615573752914774,0.7719233200868258,-0.46199361502849196,0.06568305281153042,-0.37791534327161813,-1.3988565785900604,-0.6558331116652932,New Jersey Nets,NP
518,-1.2320702905670677,-1.2197239795296018,-0.4232927840406183,-1.1806371347686124,-1.8310662900771069,-0.38112162921950965,-0.33140777865231286,-0.15812751110900114,-1.2723188881890282,-0.6682651917060427,-0.4703849978168795,-2.0032978643166914,Miami Heat,NP
674,0.06492903288656485,0.03632229086876948,-0.4594590171039039,0.07447309772764978,-0.28549237937547267,-0.8861733099113746,0.4156221772210529,-0.5611249976542106,-0.17468136588411096,1.9593178596012937,0.15150258161819294,-0.73615349056717,Philadelphia 76ers,FR
